symbol;district;city;category
FZG;żagański;Żagań;miasto lub powiat
FZA;żarski;Żary;miasto lub powiat
FZI;zielonogórski;Zielona Góra;powiat
GD;Gdańsk;Gdańsk;miasto
GA;Gdynia;Gdynia;miasto
GSP;Sopot;Sopot;miasto
GS;Słupsk;Słupsk;miasto
GBY;bytowski;Bytów;miasto lub powiat
GCH;chojnicki;Chojnice;miasto lub powiat
GCZ;człuchowski;Człuchów;miasto lub powiat
GDA;gdański;Gdańsk;powiat
GKA;kartuski;Kartuzy;miasto lub powiat
GKS;kościerski;Kościerzyna;miasto lub powiat
GKW;kwidzyński;Kwidzyn;miasto lub powiat
GLE;lęborski;Lębork;miasto lub powiat
GMB;malborski;Malbork;miasto lub powiat
GND;nowodworski;Nowy Dwór Gdański;miasto lub powiat
GPU;pucki;Puck;miasto lub powiat
GST;starogardzki;Starogard Gdański;miasto lub powiat
GSZ;sztumski;Sztum;miasto lub powiat
GSL;słupski;Słupsk;powiat
GTC;tczewski;Tczew;miasto lub powiat
GWE;wejherowski;Wejherowo;powiat
GWO;wejherowski;Wejherowo;powiat
KR;Kraków;Kraków;miasto
KK;Kraków;Kraków;miasto
KN;Nowy Sącz;Nowy Sącz;miasto
KT;Tarnów;Tarnów;miasto
KBC;bocheński;Bochnia;miasto lub powiat
KBA;bocheński;Bochnia;miasto lub powiat
KBR;brzeski;Brzesko;miasto lub powiat
KCH;chrzanowski;Chrzanów;miasto lub powiat
KDA;dąbrowski;Dąbrowa Tarnowska;miasto lub powiat
KGR;gorlicki;Gorlice;miasto lub powiat
KRA;krakowski;Kraków;powiat
KLI;limanowski;Limanowa;miasto lub powiat
KMI;miechowski;Miechów;miasto lub powiat
KMY;myślenicki;Myślenice;miasto lub powiat
KNS;nowosądecki;Nowy Sącz;powiat
KNT;nowotarski;Nowy Targ;miasto lub powiat
KOL;olkuski;Olkusz;miasto lub powiat
KOS;oświęcimski;Oświęcim;miasto lub powiat
KPR;proszowicki;Proszowice;miasto lub powiat
KSU;suski;Sucha Beskidzka;miasto lub powiat
KTA;tarnowski;Tarnów;powiat
KTT;tatrzański;Zakopane;miasto lub powiat
KWA;wadowicki;Wadowice;miasto lub powiat
KWI;wielicki;Wieliczka;miasto lub powiat
LB;Biała Podlaska;Biała Podlaska;miasto
LC;Chełm;Chełm;miasto
LU;Lublin;Lublin;miasto
